student_id,success,obstacles,next_check_in_topic,date_complete,status
953678453,I got new sneakers,I still dont have a teacher for English,Nothing really has changed from the last time we met.,9/28/2021,Complete
32263930,--,--,--,--,Not Started
244310571,--,--,--,--,Not Started
466256749,--,--,--,--,Not Started
924185469,scheduled retakes so I can start with A's this year,,"Where to find; community service for orphanages , early graduation application, and how is AP eng.",8/5/2021,Complete
556906900,my friend came to visit,i need to fill out the alternative financial aid application.,what do information do I need to fill out alternative financial aid application.,9/26/2021,Complete
592449982,Got my half of my grades up.,none,do you  get credits for this class?,9/23/2021,Complete
415786368,ive been participating more in my classes,trying to multitask with my hobbies outside of school and school work,how im doing with my school work,8/2/2021,Complete
306154860,One achievement that I have succeeded was having a report card with nearly all A's. I ended up with two C's in my report card but that does show high potential progress this year.,I am facing a single obstacle which is presentations because till this day I am still having stage freight and the giving end of the presentation.,I want to discuss on how to better my thinking when creating something.,8/3/2021,Complete
732211274,ive been turning in my work,getting to class on time,how to stop procrastinating,8/29/2021,Complete
983738074,My GPA has shot up dramatically since my fellows and my program director last met.,"I am currently just facing getting my only C in algebra up to a B and beyond that. This obstacle in hindering me because I really want to get all As, so just grinding and hardwork is what I need to do to meet that goal.",I want to discuss how to meet long-term goals faster and apply more effort into meeting my goals.,8/29/2021,Complete
632083022,I made the varisty team,Trying to keep up with my mental health while also doing all of these things.,how does FASFA work,9/29/2021,Complete
886784030,I learned how to dance,"My Algebra grade, lowering my gpa",Getting more organized like keeping up with my homework assignments.,9/11/2021,Complete
691773276,we got a dog!,I need to catch up in my classes,nothing in general,9/21/2021,Complete
330933239,doing my work,coming to school,not sure,9/17/2021,Complete
270022177,--,--,--,--,Not Started
451747518,I learned a new dance,I have been getting 2's on my summatives and i am struggling in my english class,how to focus more and be more motivated,9/25/2021,Complete
434731077,I have straight A's except for math.,math,I can't think of anything.,8/9/2021,Complete
188234394,I have received a C in math test,I get very bored of school,Can you bring you pet to school please.,8/15/2021,Complete
972256119,I got voted class president,"Being flooded with work, need to find time to work.","Catching up on my classwork for other classes, and a ways to help to focus on work.",9/21/2021,Complete
1778521,--,--,--,--,Not Started
27442012,Getting A's,Math,Not sure,9/13/2021,Complete
85533243,--,--,--,--,Not Started
478033392,--,--,--,--,Not Started
399912946,I got an after school job,math i want to pass with a c atleast,i dont know,9/21/2021,Complete
823939019,--,--,--,--,Not Started
345939776,I got in college,my lack of motivation or being lazy,current grades,9/28/2021,Complete
359072392,I made $1000,umm probably nun right now,anything,9/26/2021,Complete
113374107,--,--,--,--,Not Started
695701156,I learned how to play a new song,passing my apex class,ways to focus on my apex class,9/21/2021,Complete
